City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,montepuez,-13.1256,38.9997,24.66,67,9,5.17,MZ,1730829151
82,walvis bay,-22.9575,14.5053,16.53,67,28,3.09,NA,1730829195
83,great falls,47.5002,-111.3008,3.25,79,100,9.26,US,1730829178
84,port saint john's,-31.6229,29.5448,15.62,88,100,7.36,ZA,1730829240
85,pundong,-7.9522,110.3486,25.33,86,80,2.3,ID,1730829262
86,connell,46.6635,-118.8611,9.45,64,30,1.34,US,1730829284
87,yellowknife,62.456,-114.3525,-1.44,99,100,1.03,CA,1730829302
88,bogorodsk,56.1033,43.5158,-2.36,93,98,3.65,RU,1730829329
89,isafjordur,66.0755,-23.124,12.02,66,100,7.72,IS,1730829351
90,weno,7.4515,151.8468,29.08,74,80,4.88,FM,1730829373
91,kilju,40.9642,129.3278,1.43,54,0,2.54,KP,1730829395
92,tsiombe,-25.3,45.4833,23.54,82,1,5.67,MG,1730829417
93,constantia,44.1833,28.65,3.38,46,0,1.84,RO,1730829440
94,port elizabeth,-33.918,25.5701,15.16,88,40,3.6,ZA,1730829462
95,kazerun,29.6195,51.6541,22.73,43,6,1.6,IR,1730829484
96,chiang klang,19.2938,100.8617,19.9,96,100,1.19,TH,1730829506
97,vorgashor,67.5833,63.95,-3.03,96,100,6.58,RU,1730829528
98,xinzhou,38.4092,112.7333,5.34,50,0,0.26,CN,1730829551
99,selfoss,63.9331,-20.9971,10.58,93,100,14.19,IS,1730829573
100,villa gesell,-37.2639,-56.973,19.19,53,0,5.3,AR,1730829595
101,invercargill,-46.4,168.35,7.23,97,25,1.58,NZ,1730829617
102,avarua,-21.2078,-159.775,24.03,88,75,1.54,CK,1730829639
103,kuala terengganu,5.3302,103.1408,25.97,94,40,1.54,MY,1730829662
104,alibag,18.6411,72.8792,28.04,72,0,2.64,IN,1730829684
105,belyy yar,53.6039,91.3903,-1.06,100,40,3.0,RU,1730829706
106,veraval,20.9,70.3667,27.76,60,0,2.45,IN,1730829728
107,happy valley-goose bay,53.3168,-60.3315,2.17,60,100,3.09,CA,1730829751
108,puerto natales,-51.7236,-72.4875,5.25,87,100,3.09,CL,1730829773
109,fort st. john,56.2499,-120.8529,-0.06,80,20,4.63,CA,1730829795
110,embi,48.8264,58.1442,0.23,97,100,6.61,KZ,1730829817
111,hermanus,-34.4187,19.2345,14.33,65,66,7.91,ZA,1730829839
112,iskateley,67.6803,53.1512,-5.17,86,81,4.04,RU,1730829862
113,sturgeon bay,44.8342,-87.377,12.2,100,100,2.57,US,1730829884
114,yanchep,-31.55,115.6833,14.65,61,71,4.73,AU,1730829906
115,usogorsk,63.4106,48.6872,-3.86,96,100,2.12,RU,1730829928
116,kingaroy,-26.5333,151.8333,16.2,90,98,1.33,AU,1730829951
117,kudahuvadhoo,2.6708,72.8944,27.98,75,50,3.32,MV,1730829973
118,thompson,55.7435,-97.8558,-0.91,80,75,3.6,CA,1730829995
119,aioun,16.6614,-9.6149,32.96,10,0,4.55,MR,1730830017
120,laojunmiao,39.8333,97.7333,4.85,29,5,0.7,CN,1730830039
121,upington,-28.4478,21.2561,16.77,28,1,5.81,ZA,1730830062
122,dolinsk,47.35,142.8,1.18,96,80,5.43,RU,1730830084
123,csorna,47.6115,17.2501,7.77,50,82,3.33,HU,1730830106
124,cidreira,-30.1811,-50.2056,23.8,83,24,4.2,BR,1730830128
125,shengli,37.4564,118.4856,8.82,32,0,1.76,CN,1730830150
126,aasiaat,68.7098,-52.8699,-8.47,95,100,1.7,GL,1730830173
127,qaqortoq,60.7167,-46.0333,-9.31,78,6,2.76,GL,1730830195
128,ust-nera,64.5667,143.2,-25.29,99,97,0.88,RU,1730830217
129,bom despacho,-19.7364,-45.2522,19.41,94,100,2.03,BR,1730830239
130,howrah,22.5892,88.3103,26.0,83,20,1.54,IN,1730830262
131,port blair,11.6667,92.75,24.02,100,100,1.03,IN,1730830284
132,maloye ganyushkino,46.6,49.2667,0.57,58,85,12.74,KZ,1730830306
133,nadym,65.5333,72.5167,-4.67,94,100,11.45,RU,1730830328
134,gokarna,14.55,74.3167,27.92,74,93,1.52,IN,1730830350
135,chibougamau,49.9168,-74.3659,8.79,100,100,3.09,CA,1730830373
136,kollam,8.8833,76.6,26.1,81,0,0.77,IN,1730830395
137,tual,-5.6667,132.75,28.11,76,100,1.31,ID,1730830417
